0.144	0.25 0.28 0.65	   0.554332 0.000883904    0.623267	 -8.1801e-05 -0.000554565   0.00255124
0.145	0.25 0.28 0.65	   0.554322 0.000892868    0.623267	-8.37206e-05 -0.000561471   0.00259943
0.146	0.25 0.28 0.65	  0.554313 0.00089843   0.623268	-8.15901e-05 -0.000564301   0.00264831
0.147	0.25 0.28 0.65	  0.554303 0.00091212   0.623272	-7.95788e-05 -0.000557751   0.00268128
0.148	0.25 0.28 0.65	   0.554295 0.000921842    0.623268	-7.81235e-05 -0.000570625   0.00272763
0.149	0.25 0.28 0.65	   0.554286 0.000930834    0.623269	 -7.6711e-05 -0.000570837   0.00276862
0.15	0.25 0.28 0.65	   0.55428 0.00094009   0.623265	-7.65885e-05 -0.000580572    0.0028142
0.151	0.25 0.28 0.65	   0.554271 0.000948059    0.623269	-7.71271e-05 -0.000573698   0.00286026
0.152	0.25 0.28 0.65	   0.554262 0.000959049    0.623267	-7.64014e-05 -0.000578118   0.00290318
0.153	0.25 0.28 0.65	   0.554252 0.000968194    0.623269	-7.89493e-05 -0.000578577   0.00294748
0.154	0.25 0.28 0.65	  0.554243 0.00097428   0.623271	-7.94608e-05 -0.000579687   0.00299927
0.155	0.25 0.28 0.65	  0.554234 0.00098567   0.623271	-8.06668e-05 -0.000580178   0.00305256
0.156	0.25 0.28 0.65	   0.554223 0.000995652    0.623275	-8.12907e-05 -0.000574805   0.00309743
0.157	0.25 0.28 0.65	  0.554214 0.00100454   0.623276	 -8.1187e-05 -0.000574235     0.003146
0.158	0.25 0.28 0.65	 0.554204 0.0010144  0.623277	-8.16794e-05 -0.000575369   0.00319654
0.159	0.25 0.28 0.65	  0.554195 0.00102237   0.623276	-7.96502e-05 -0.000574223   0.00324963
0.16	0.25 0.28 0.65	  0.554186 0.00103333   0.623277	-7.82342e-05 -0.000570168   0.00329262
0.161	0.25 0.28 0.65	  0.554178 0.00104024   0.623274	-7.60857e-05  -0.00057083   0.00335171
0.162	0.25 0.28 0.65	  0.554168 0.00104506   0.623277	-7.40663e-05 -0.000565162   0.00341038
0.163	0.25 0.28 0.65	  0.55416 0.0010557  0.623272	-7.32191e-05 -0.000571932   0.00345781
0.164	0.25 0.28 0.65	  0.554152 0.00106489   0.623269	-7.37885e-05 -0.000580468   0.00351327
0.165	0.25 0.28 0.65	 0.554141 0.0010713   0.62327	-7.56183e-05 -0.000579504   0.00356766
0.166	0.25 0.28 0.65	 0.554132 0.0010828  0.623269	-7.68098e-05  -0.00058277   0.00361717
0.167	0.25 0.28 0.65	 0.554121 0.0010921  0.623269	-7.93208e-05 -0.000583601   0.00367669
0.168	0.25 0.28 0.65	  0.554111 0.00109806   0.623268	-7.85837e-05 -0.000588121   0.00373366
0.169	0.25 0.28 0.65	    0.5541 0.00110671   0.623268	-7.77416e-05 -0.000591421   0.00379048
0.17	0.25 0.28 0.65	   0.55409 0.00111692   0.623267	-7.62917e-05 -0.000591464   0.00384679
0.171	0.25 0.28 0.65	   0.55408 0.00112945   0.623266	-7.61582e-05  -0.00059339   0.00389498
0.172	0.25 0.28 0.65	   0.55407 0.00113744   0.623266	-7.33904e-05 -0.000593358   0.00395111
0.173	0.25 0.28 0.65	  0.55406 0.0011466  0.623264	-7.26204e-05 -0.000599579   0.00401225
0.174	0.25 0.28 0.65	  0.554049 0.00115352   0.623266	 -7.3126e-05 -0.000597705   0.00407041
0.175	0.25 0.28 0.65	  0.554038 0.00116596   0.623266	-7.29866e-05 -0.000599392   0.00411659
0.176	0.25 0.28 0.65	  0.554027 0.00117574   0.623267	-7.41716e-05 -0.000601238   0.00417574
0.177	0.25 0.28 0.65	  0.554016 0.00118892   0.623266	-7.60579e-05 -0.000604444   0.00422032
0.178	0.25 0.28 0.65	  0.554005 0.00120038    0.62327	-7.46145e-05 -0.000601375   0.00427175
0.179	0.25 0.28 0.65	  0.553993 0.00121146    0.62327	-7.57776e-05 -0.000606874   0.00432822
0.18	0.25 0.28 0.65	  0.553981 0.00122265   0.623273	-7.56631e-05 -0.000601149   0.00438205
0.181	0.25 0.28 0.65	  0.553971 0.00123402   0.623271	-7.55111e-05 -0.000605141   0.00443488
0.182	0.25 0.28 0.65	  0.55396 0.0012455  0.623274	 -7.538e-05 -0.00060205  0.00449304
0.183	0.25 0.28 0.65	   0.55395 0.00125787   0.623272	-7.44981e-05 -0.000608619   0.00454439
0.184	0.25 0.28 0.65	 0.553937 0.0012736  0.623271	-7.37022e-05 -0.000614334    0.0045929
0.185	0.25 0.28 0.65	  0.553927 0.00128435   0.623273	-7.35598e-05 -0.000613296   0.00465301
